ID;Focus area;Capability;Description
1;1;A;Privacy requirements are formulated before the design stage based on general privacy principles and the PIA. Business and legal requirements are elicited with privacy in mind, privacy-violating requirements are discarded.
2;1;B;All privacy and security requirements are collected and validated for technical soundness and implementation viability. Adherence of the system to the requirements is verified during validation through pre-formulated requirement constraints and tests.
3;1;C;Stakeholders are extensively involved in the formulation of privacy goals and the identification of privacy requirements. Elicited privacy requirements are related to specific threats or principles to guarantee traceability and accountability. The privacy office documents and tracks the requirements and considers privacy risks in the design phase for all processes and systems.
4;1;D;Advice from ethical experts is gained regarding requirements for sensitive personal data.
5;2;A;A privacy architecture viewpoint is included in the project architecture for new initiatives. The privacy architecture maps privacy requirements onto the project architecture, translates privacy design strategies to tactics, and models data sets, processing purposes, lawful grounds, actors, legal roles, and personal data types.
6;2;B;The data flows for all processing activities are modelled in a data flow diagram and documented as part of the enterprise architecture. The privacy architecture viewpoints document the relationships between existing and new elements.
7;2;C;Architecture models are verified for completeness and soundness. The architecture and models are validated to confirm that privacy requirements are implemented correctly. Selected privacy tactics are integrated by means of available privacy design patterns and PETs.
8;2;D;Processing activities and related information elements are exhaustively modelled and traceable through all layers of architecture. Privacy design patterns and PETs are selected from a centralised catalogue in a structured manner.
9;3;A;Privacy requirements are incorporated in low-level design. Acceptance testing is used to ensure that the system meets the privacy and security requirements.
10;3;B;Privacy and data protection activities are integrated in the methods and workflows of the software development lifecycle. Operational behaviour is checked against applicable privacy policies and procedures.
11;3;C;Privacy-by-design is applied and documented within change management procedures. A process is in place to ensure that updates to privacy notices are considered for every significant change in the organisations processing activities. 
12;3;D;Establish a catalogue of privacy patterns with relevant code excerpts to enable reusable design. Information systems are designed with automated privacy controls where possible.
13;3;E;Privacy policies are embedded in system design and are automatically enforced.
14;4;A;Purpose-based access is used to limit access to personal data so that it can only be accessed for legitimate processing activities. Personal data is encrypted in transit.
15;4;B;Privacy enhancing technologies (PETs) are selected, developed, and used to implement privacy design patterns.
