ID;Focus area;Capability;Level;Action
1;1;A;1;Formulate the privacy requirements based on general privacy principles and the PIA.
2;1;A;1;Formulate privacy requirements before the design stage.
3;1;A;1;Elicit business and legal requirements with privacy in mind.
4;1;A;1;Discard business requirements that violate privacy.
5;1;B;3;Collect all privacy and security requirements.
6;1;B;3;Validate all collected privacy and security requirements for technical soundness and implementation viability.
7;1;B;3;Verify adherence of the system during validation.
8;1;B;3;Verify adherence of the system to the requirements through pre-formulated requirement constraints and tests.
9;1;C;4;Involve stakeholders extensively in the formulation of privacy goals.
10;1;C;4;Involve stakeholders extensively in the identification of privacy requirements.
11;1;C;4;Relate elicited privacy requirements to specific threats or principles.
12;1;C;4;Track the privacy requirements in the privacy office.
13;1;C;4;Consider privacy risks for all processes and systems in the design phase.
14;1;D;5;Gain advice from ethical experts regarding requirements for sensitive personal data.
15;2;A;2;Ensure that the project architecture for new initiatives contains a privacy architecture viewpoint.
16;2;A;2;Ensure that the privacy architecture maps privacy requirements onto the project requirements.
17;2;A;2;Ensure that the privacy architecture translates privacy design strategies to tactics.
18;2;A;2;Model data sets, processing purposes, lawful grounds, actors, legal roles, and personal data types in the privacy architecture.
19;2;B;3;Include data flow diagrams that model all processing activities in the enterprise architecture.
20;2;B;3;Include viewpoints that document the relationship between existing and new elements in the privacy architecture.
21;2;C;4;Verify the architecture models for completeness and soundness.
22;2;C;4;Validate the architecture and models to confirm that privacy requirements are implemented correctly.
23;2;C;4;Integrate selected privacy tactics by means of available privacy design patterns and privacy enhancing technologies.
24;2;D;7;Exhaustively model processing activities and related information elements so that they are traceable through all layers of architecture.
25;2;D;7;Select privacy design patterns and privacy enhancing technologies in a structured manner.
26;2;D;7;Select privacy design patterns and privacy enhancing technologies from a centralised catalogue.
27;3;A;1;Incorporate privacy requirements in low-level design.
28;3;A;1;Use acceptance testing to ensure that the system meets the privacy and security requirements.
29;3;B;2;Integrate the privacy and data protection activities in the method and workflows of the software development lifecycle.
30;3;B;2;Check operational behaviour against applicable privacy policies and procedures.
31;3;C;5;Apply and document privacy-by-design within change management procedures.
32;3;C;5;Ensure a process is in place so that updates to privacy notices are considered for every significant change in the organisation's processing activities.
33;3;D;6;Establish a catalogue of privacy patterns.
34;3;D;6;Include relevant code excerpts to the catalogue of privacy patterns.
35;3;D;6;Design information systems with automated privacy controls where possible.
36;3;E;9;Embed privacy policies in the system design.
37;3;E;9;Automatically enforce the privacy policies.
38;4;A;1;Use purpose-based access to limit access to personal data.
39;4;A;1;Encrypt personal data in transit.
40;4;B;5;Select, develop, and use privacy enhancing technologies to implement privacy design patterns.
41;4;C;7;Assess the selected privacy enhancing technologies for effectiveness and added value to the provided degree of privacy.
42;4;C;7;Remove unnecessary privacy enhancing technologies.
43;4;C;7;Catalogue new and existing privacy enhancing technologies.
44;4;D;8;Embed the enforcement of privacy policies in the technical design where suitable.
45;4;D;8;Map privacy design patterns to privacy enhancing technologies.
46;4;D;8;Select privacy enhancing technologies from an established catalogue.
47;4;D;8;Take into account the quantitative and qualitative costs and benefits of privacy enhancing technologies.
